ID,Name,Date,Temp High,Temp Low,Temp Diff,Temp Avg.,Precip. (mm),AQI,Humidity High,Humidity Low,Sunrise,Sunset,Daylight Time,Night Time
7,WuHan, 2018-06-03,29,20,9,27.2,0,112,97,47,5:21,19:23,14:02,9:58
7,WuHan, 2018-06-04,28,20,8,24.3,0,94,96,59,5:21,19:24,14:03,9:57
7,WuHan, 2018-06-05,26,19,7,24.5,0,94,99,69,5:21,19:24,14:03,9:57
7,WuHan, 2018-06-06,30,19,11,27,0,103,98,43,5:21,19:25,14:04,9:56
7,WuHan, 2018-06-07,32,22,10,26.4,0,105,86,42,5:21,19:25,14:04,9:56
7,WuHan, 2018-06-10,30,19,11,29.6,0,109,97,50,5:21,19:26,14:05,9:55
7,WuHan, 2018-06-11,31,22,9,30.3,0,106,93,46,5:21,19:27,14:06,9:54
7,WuHan, 2018-06-12,32,20,12,26.4,0,89,94,40,5:21,19:27,14:06,9:54
7,WuHan, 2018-06-13,31,20,11,29.6,0,94,98,50,5:21,19:27,14:06,9:54
7,WuHan, 2018-06-14,31,21,10,28.8,0,113,99,51,5:21,19:28,14:07,9:53
7,WuHan, 2018-06-15,29,20,9,27.2,0,112,97,47,5:21,19:28,14:07,9:53
7,WuHan, 2018-06-16,28,20,8,24.3,0,94,96,59,5:21,19:28,14:07,9:53
7,WuHan, 2018-06-17,26,19,7,24.5,0,94,99,69,5:21,19:28,14:07,9:53
7,WuHan, 2018-06-18,30,19,11,27,0,103,98,43,5:22,19:29,14:07,9:53
7,WuHan, 2018-06-19,32,22,10,26.4,0,105,86,42,5:22,19:29,14:07,9:53
7,WuHan, 2018-06-20,30,19,11,29.6,0,109,97,50,5:22,19:29,14:07,9:53
7,WuHan, 2018-06-21,31,22,9,30.3,0,106,93,46,5:22,19:29,14:07,9:53
7,WuHan, 2018-06-22,32,20,12,26.4,0,89,94,40,5:22,19:29,14:07,9:53
7,WuHan, 2018-06-23,31,20,11,29.6,0,94,98,50,5:23,19:29,14:08,9:52
7,WuHan, 2018-06-24,33,25,8,30.6,5.3,58,97,63,5:23,19:30,14:07,9:53
7,WuHan, 2018-06-25,35,28,7,30.4,0,53,81,52,5:23,19:30,14:07,9:53
7,WuHan, 2018-06-26,34,29,6,30.8,0,55,73,54,5:23,19:30,14:07,9:53
7,WuHan, 2018-06-27,34,29,6,30.8,0,53,72,56,5:23,19:30,14:07,9:53
7,WuHan, 2018-06-28,32,25,7,30.2,0.2,60,99,65,5:24,19:30,14:06,9:54
7,WuHan, 2018-07-01,32,25,7,28.9,23.2,47,98,58,5:25,19:30,14:05,9:55
7,WuHan, 2018-07-02,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-03,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-04,34,25,9,25.6,27.4,56,98,64,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-05,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-06,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-07,34,25,9,25.6,27.4,56,98,64,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-08,29,25,4,29.6,7.5,44,98,79,5:28,19:30,14:02,9:58
7,WuHan, 2018-07-09,32,26,6,34.2,0,55,98,70,5:29,19:29,14:00,10:00
7,WuHan, 2018-07-10,28,20,8,24.3,0,94,96,59,5:21,19:28,14:07,9:53
7,WuHan, 2018-07-11,26,19,7,24.5,0,94,99,69,5:21,19:28,14:07,9:53
7,WuHan, 2018-07-12,30,19,11,27,0,103,98,43,5:22,19:29,14:07,9:53
7,WuHan, 2018-07-13,32,22,10,26.4,0,105,86,42,5:22,19:29,14:07,9:53
7,WuHan, 2018-07-14,30,19,11,29.6,0,109,97,50,5:22,19:29,14:07,9:53
7,WuHan, 2018-07-15,31,22,9,30.3,0,106,93,46,5:22,19:29,14:07,9:53
7,WuHan, 2018-07-16,32,20,12,26.4,0,89,94,40,5:22,19:29,14:07,9:53
7,WuHan, 2018-07-17,31,20,11,29.6,0,94,98,50,5:23,19:29,14:08,9:52
7,WuHan, 2018-07-18,33,25,8,30.6,5.3,58,97,63,5:23,19:30,14:07,9:53
7,WuHan, 2018-07-19,35,28,7,30.4,0,53,81,52,5:23,19:30,14:07,9:53
7,WuHan, 2018-07-20,34,29,6,30.8,0,55,73,54,5:23,19:30,14:07,9:53
7,WuHan, 2018-07-21,34,29,6,30.8,0,53,72,56,5:23,19:30,14:07,9:53
7,WuHan, 2018-07-22,32,25,7,30.2,0.2,60,99,65,5:24,19:30,14:06,9:54
7,WuHan, 2018-07-23,32,25,7,28.9,23.2,47,98,58,5:25,19:30,14:05,9:55
7,WuHan, 2018-07-24,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-25,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-26,34,25,9,25.6,27.4,56,98,64,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-27,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-28,31,25,6,30.5,2.3,78,97,75,5:26,19:30,14:04,9:56
7,WuHan, 2018-07-29,34,25,9,25.6,27.4,56,98,64,5:26,19:30,14:04,9:56
