ID,Name,Date,Temp High,Temp Low,Temp Diff,Temp Avg.,Precip. (mm),AQI,Humidity High,Humidity Low,Sunrise,Sunset,Daylight Time,Night Time
1,Shanghai, 2018-06-03,28,21,7,24.6,0,59,85,41,4:50,18:55,14:05,9:55
1,Shanghai, 2018-06-04,27,22,5,24.4,0.7,132,94,59,4:50,18:55,14:05,9:55
1,Shanghai, 2018-06-05,27,21,6,24.6,0.2,143,85,58,4:50,18:56,14:06,9:54
1,Shanghai, 2018-06-06,29,21,8,23.3,0,118,88,51,4:50,18:56,14:06,9:54
1,Shanghai, 2018-06-07,28,22,8,24.6,0,53,89,52,4:50,18:57,14:07,9:53
1,Shanghai, 2018-06-10,29,21,8,27.8,0,124,88,44,4:50,18:58,14:08,9:52
1,Shanghai, 2018-06-11,32,22,10,31.2,0,149,81,39,4:50,18:59,14:09,9:51
1,Shanghai, 2018-06-12,32,24,8,27.5,0,149,72,42,4:50,18:59,14:09,9:51
1,Shanghai, 2018-06-13,33,23,10,28.8,0,127,86,39,4:50,18:59,14:09,9:51
1,Shanghai, 2018-06-14,30,22,8,25.2,0,52,78,46,4:50,19:00,14:10,9:50
1,Shanghai, 2018-06-15,28,21,7,24.6,0,59,85,41,4:51,19:00,14:09,9:51
1,Shanghai, 2018-06-16,27,22,5,24.4,0.7,132,94,59,4:51,19:00,14:09,9:51
1,Shanghai, 2018-06-17,27,21,6,24.6,0.2,143,85,58,4:51,19:00,14:09,9:51
1,Shanghai, 2018-06-18,29,21,8,23.3,0,118,88,51,4:51,19:00,14:09,9:51
1,Shanghai, 2018-06-19,28,22,8,24.6,0,53,89,52,4:51,19:01,14:10,9:50
1,Shanghai, 2018-06-20,29,21,8,27.8,0,124,88,44,4:51,19:01,14:10,9:50
1,Shanghai, 2018-06-21,32,22,10,31.2,0,149,81,39,4:51,19:01,14:10,9:50
1,Shanghai, 2018-06-22,32,24,8,27.5,0,149,72,42,4:52,19:01,14:09,9:51
1,Shanghai, 2018-06-23,33,23,10,28.8,0,127,86,39,4:52,19:01,14:09,9:51
1,Shanghai, 2018-06-24,26,23,3,26.5,6,59,98,76,4:52,19:02,14:10,9:50
1,Shanghai, 2018-06-25,33,24,9,31.2,0,111,98,61,4:52,19:02,14:10,9:50
1,Shanghai, 2018-06-26,36,29,7,32.3,0,112,82,51,4:52,19:02,14:10,9:50
1,Shanghai, 2018-06-27,36,30,6,31.4,0,67,76,45,4:53,19:02,14:09,9:51
1,Shanghai, 2018-06-28,34,25,9,28.6,2.5,63,95,51,4:53,19:02,14:09,9:51
1,Shanghai, 2018-07-01,28,25,3,27.9,2.3,35,97,80,4:54,19:02,14:08,9:52
1,Shanghai, 2018-07-02,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-03,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-04,27,26,1,27.8,12.2,95,98,92,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-05,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-06,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-07,27,26,1,27.8,12.2,95,98,92,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-08,33,27,6,32.8,0,57,88,60,4:57,19:02,14:05,9:55
1,Shanghai, 2018-07-09,33,27,6,32.7,0,45,87,58,4:58,19:01,14:03,9:57
1,Shanghai, 2018-07-10,29,21,8,23.3,0,118,88,51,4:51,19:00,14:09,9:51
1,Shanghai, 2018-07-11,28,22,8,24.6,0,53,89,52,4:51,19:01,14:10,9:50
1,Shanghai, 2018-07-12,29,21,8,27.8,0,124,88,44,4:51,19:01,14:10,9:50
1,Shanghai, 2018-07-13,32,22,10,31.2,0,149,81,39,4:51,19:01,14:10,9:50
1,Shanghai, 2018-07-14,32,24,8,27.5,0,149,72,42,4:52,19:01,14:09,9:51
1,Shanghai, 2018-07-15,33,23,10,28.8,0,127,86,39,4:52,19:01,14:09,9:51
1,Shanghai, 2018-07-16,26,23,3,26.5,6,59,98,76,4:52,19:02,14:10,9:50
1,Shanghai, 2018-07-17,33,24,9,31.2,0,111,98,61,4:52,19:02,14:10,9:50
1,Shanghai, 2018-07-18,36,29,7,32.3,0,112,82,51,4:52,19:02,14:10,9:50
1,Shanghai, 2018-07-19,36,30,6,31.4,0,67,76,45,4:53,19:02,14:09,9:51
1,Shanghai, 2018-07-20,34,25,9,28.6,2.5,63,95,51,4:53,19:02,14:09,9:51
1,Shanghai, 2018-07-21,28,25,3,27.9,2.3,35,97,80,4:54,19:02,14:08,9:52
1,Shanghai, 2018-07-22,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-23,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-24,27,26,1,27.8,12.2,95,98,92,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-25,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-26,29,26,3,29.1,0.4,47,88,69,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-27,27,26,1,27.8,12.2,95,98,92,4:55,19:02,14:07,9:53
1,Shanghai, 2018-07-28,33,27,6,32.8,0,57,88,60,4:57,19:02,14:05,9:55
1,Shanghai, 2018-07-29,33,27,6,32.7,0,45,87,58,4:58,19:01,14:03,9:57
