ID,Name,Date,Temp High,Temp Low,Temp Diff,Temp Avg.,Precip. (mm),AQI,Humidity High,Humidity Low,Sunrise,Sunset,Daylight Time,Night Time
6,HangZhou, 2018-06-03,25,18,7,24.6,0,77,94,58,4:58,18:58,14:00,10:00
6,HangZhou, 2018-06-04,29,19,10,20.2,1.4,123,95,47,4:58,18:58,14:00,10:00
6,HangZhou, 2018-06-05,23,19,4,23.7,0,54,97,77,4:57,18:59,14:02,9:58
6,HangZhou, 2018-06-06,29,21,8,25.1,0,107,95,57,4:57,18:59,14:02,9:58
6,HangZhou, 2018-06-07,30,23,7,23.8,0,112,91,55,4:57,19:00,14:03,9:57
6,HangZhou, 2018-06-10,30,19,11,29.9,0.5,68,98,44,4:57,19:01,14:04,9:56
6,HangZhou, 2018-06-11,31,20,11,29.2,0,83,89,39,4:57,19:01,14:04,9:56
6,HangZhou, 2018-06-12,31,21,10,25.4,0,104,89,48,4:57,19:02,14:05,9:55
6,HangZhou, 2018-06-13,33,22,11,29.6,0,104,59,32,4:57,19:02,14:05,9:55
6,HangZhou, 2018-06-14,33,22,11,26.5,0,125,90,32,4:57,19:02,14:05,9:55
6,HangZhou, 2018-06-15,25,18,7,24.6,0,77,94,58,4:58,19:02,14:04,9:56
6,HangZhou, 2018-06-16,29,19,10,20.2,1.4,123,95,47,4:58,19:02,14:04,9:56
6,HangZhou, 2018-06-17,23,19,4,23.7,0,54,97,77,4:58,19:03,14:05,9:55
6,HangZhou, 2018-06-18,29,21,8,25.1,0,107,95,57,4:58,19:03,14:05,9:55
6,HangZhou, 2018-06-19,30,23,7,23.8,0,112,91,55,4:58,19:03,14:05,9:55
6,HangZhou, 2018-06-20,30,19,11,29.9,0.5,68,98,44,4:58,19:03,14:05,9:55
6,HangZhou, 2018-06-21,31,20,11,29.2,0,83,89,39,4:58,19:04,14:06,9:54
6,HangZhou, 2018-06-22,31,21,10,25.4,0,104,89,48,4:59,19:04,14:05,9:55
6,HangZhou, 2018-06-23,33,22,11,29.6,0,104,59,32,4:59,19:04,14:05,9:55
6,HangZhou, 2018-06-24,30,23,7,29.7,0,103,97,67,4:59,19:05,14:06,9:54
6,HangZhou, 2018-06-25,36,27,9,30.7,0,80,89,48,4:59,19:05,14:06,9:54
6,HangZhou, 2018-06-26,36,28,8,30.8,0,51,78,51,5:00,19:05,14:05,9:55
6,HangZhou, 2018-06-27,36,28,8,31.4,0,42,76,48,5:00,19:05,14:05,9:55
6,HangZhou, 2018-06-28,34,26,8,28.9,0,55,91,52,5:00,19:05,14:05,9:55
6,HangZhou, 2018-07-01,28,25,3,27.7,1.4,62,97,78,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-02,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-03,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-04,28,26,2,29.4,7.9,44,98,82,5:03,19:05,14:02,9:58
6,HangZhou, 2018-07-05,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-06,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-07,28,26,2,29.4,7.9,44,98,82,5:03,19:05,14:02,9:58
6,HangZhou, 2018-07-08,36,27,9,34.5,1.2,82,86,51,5:05,19:04,13:59,10:01
6,HangZhou, 2018-07-09,35,26,9,32.9,0,57,93,56,5:05,19:04,13:59,10:01
6,HangZhou, 2018-07-10,29,21,8,25.1,0,107,95,57,4:58,19:03,14:05,9:55
6,HangZhou, 2018-07-11,30,23,7,23.8,0,112,91,55,4:58,19:03,14:05,9:55
6,HangZhou, 2018-07-12,30,19,11,29.9,0.5,68,98,44,4:58,19:03,14:05,9:55
6,HangZhou, 2018-07-13,31,20,11,29.2,0,83,89,39,4:58,19:04,14:06,9:54
6,HangZhou, 2018-07-14,31,21,10,25.4,0,104,89,48,4:59,19:04,14:05,9:55
6,HangZhou, 2018-07-15,33,22,11,29.6,0,104,59,32,4:59,19:04,14:05,9:55
6,HangZhou, 2018-07-16,30,23,7,29.7,0,103,97,67,4:59,19:05,14:06,9:54
6,HangZhou, 2018-07-17,36,27,9,30.7,0,80,89,48,4:59,19:05,14:06,9:54
6,HangZhou, 2018-07-18,36,28,8,30.8,0,51,78,51,5:00,19:05,14:05,9:55
6,HangZhou, 2018-07-19,36,28,8,31.4,0,42,76,48,5:00,19:05,14:05,9:55
6,HangZhou, 2018-07-20,34,26,8,28.9,0,55,91,52,5:00,19:05,14:05,9:55
6,HangZhou, 2018-07-21,28,25,3,27.7,1.4,62,97,78,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-22,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-23,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-24,28,26,2,29.4,7.9,44,98,82,5:03,19:05,14:02,9:58
6,HangZhou, 2018-07-25,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-26,32,25,7,26.1,17.8,39,97,69,5:02,19:05,14:03,9:57
6,HangZhou, 2018-07-27,28,26,2,29.4,7.9,44,98,82,5:03,19:05,14:02,9:58
6,HangZhou, 2018-07-28,36,27,9,34.5,1.2,82,86,51,5:05,19:04,13:59,10:01
6,HangZhou, 2018-07-29,35,26,9,32.9,0,57,93,56,5:05,19:04,13:59,10:01
